month,strategy,hedge_ratio,exposure,covered_amount,transaction_cost,exposure_pnl_proxy,hedge_pnl_proxy,hedged_position_pnl_proxy,net_pnl,residual_exposure,fx_return_month,abs_residual_exposure
2020-04,EWMA,0.9,419967.8900724587,377971.10106521286,75.59422021304258,-5833.466047468465,5174.525222508576,-658.9408249598891,-658.9408249598891,41996.789007245854,-0.013890266816498742,41996.789007245854
2020-04,GARCH,0.9,419967.8900724587,377971.10106521286,75.59422021304258,-5833.466047468465,5174.525222508576,-658.9408249598891,-658.9408249598891,41996.789007245854,-0.013890266816498742,41996.789007245854
2020-04,GRU,0.3,419967.8900724587,125990.3670217376,25.19807340434752,-5833.466047468465,1724.8417408361918,-4108.624306632273,-4108.624306632273,293977.5230507211,-0.013890266816498742,293977.5230507211
2020-04,LSTM,0.3,419967.8900724587,125990.3670217376,25.19807340434752,-5833.466047468465,1724.8417408361918,-4108.624306632273,-4108.624306632273,293977.5230507211,-0.013890266816498742,293977.5230507211
2020-04,STATIC,0.6,419967.8900724587,251980.7340434752,50.39614680869504,-5833.466047468465,3449.6834816723836,-2383.7825657960816,-2383.7825657960816,167987.1560289835,-0.013890266816498742,167987.1560289835
2020-05,EWMA,0.9,419930.868186438,377937.7813677942,75.58755627355885,7792.872139968768,-7089.172482245451,703.6996577233176,703.6996577233176,41993.08681864379,0.01855751203435929,41993.08681864379
2020-05,GARCH,0.9,419930.868186438,377937.7813677942,75.58755627355885,7792.872139968768,-7089.172482245451,703.6996577233176,703.6996577233176,41993.08681864379,0.01855751203435929,41993.08681864379
2020-05,GRU,0.3,419930.868186438,125979.26045593139,25.19585209118628,7792.872139968768,-2363.0574940818165,5429.814645886952,5429.814645886952,293951.60773050657,0.01855751203435929,293951.60773050657
2020-05,LSTM,0.9,419930.868186438,377937.7813677942,75.58755627355885,7792.872139968768,-7089.172482245451,703.6996577233176,703.6996577233176,41993.08681864379,0.01855751203435929,41993.08681864379
2020-05,STATIC,0.6,419930.868186438,251958.52091186278,50.39170418237256,7792.872139968768,-4726.114988163633,3066.7571518051354,3066.7571518051354,167972.3472745752,0.01855751203435929,167972.3472745752
2020-06,EWMA,0.6,462153.27306618565,277291.9638397114,55.45839276794228,7011.991188889464,-4262.65310610162,2749.3380827878436,2749.3380827878436,184861.30922647426,0.015172436500055397,184861.30922647426
2020-06,GARCH,0.6,462153.27306618565,277291.9638397114,55.45839276794228,7011.991188889464,-4262.65310610162,2749.3380827878436,2749.3380827878436,184861.30922647426,0.015172436500055397,184861.30922647426
2020-06,GRU,0.3,462153.27306618565,138645.9819198557,27.72919638397114,7011.991188889464,-2131.32655305081,4880.664635838653,4880.664635838653,323507.29114632995,0.015172436500055397,323507.29114632995
2020-06,LSTM,0.3,462153.27306618565,138645.9819198557,27.72919638397114,7011.991188889464,-2131.32655305081,4880.664635838653,4880.664635838653,323507.29114632995,0.015172436500055397,323507.29114632995
2020-06,STATIC,0.6,462153.27306618565,277291.9638397114,55.45839276794228,7011.991188889464,-4262.65310610162,2749.3380827878436,2749.3380827878436,184861.30922647426,0.015172436500055397,184861.30922647426
2020-07,EWMA,0.6,420029.8993431595,252017.9396058957,50.40358792117914,23342.758034123675,-14056.058408395384,9286.699625728292,9286.699625728292,168011.95973726382,0.055574039063949865,168011.95973726382
2020-07,GARCH,0.6,420029.8993431595,252017.9396058957,50.40358792117914,23342.758034123675,-14056.058408395384,9286.699625728292,9286.699625728292,168011.95973726382,0.055574039063949865,168011.95973726382
2020-07,GRU,0.6,420029.8993431595,252017.9396058957,50.40358792117914,23342.758034123675,-14056.058408395384,9286.699625728292,9286.699625728292,168011.95973726382,0.055574039063949865,168011.95973726382
